,Title,Price,Price_Origin,Link,Image,Retailer,TimeStamp,Source
0,Bed Bath And Beyond  ZeroWater® 10-Cup Ready Pour™ Pitcher with Free Tds Meter,18.20,,http://www.dpbolvw.net/click-749547-13347068?url=https://www.bedbathandbeyond.ca/store/product/zerowater-reg-10-cup-ready-pour-trade-pitcher-with-free-water-quality-in-blue/5514138?skuId=69594027&mcid=PS_googlepla_nonbrand__&product_id=69594027&enginename=google&adpos=&creative=340470882360&device=m&matchtype=&network=g&utm_campaignid=71700000049805485&utm_adgroupid=58700004897637044&targetid=92700042348343448&gclid=EAIaIQobChMI98zMl52A7gIVF47ICh3niAwBEAQYASABEgLmhvD_BwE&gclsrc=aw.ds&sid=rfdcb,,Bed Bath And Beyond,2021-01-03T22:50:01,https://forums.redflagdeals.com/bed-bath-and-beyond-zerowater-10-cup-ready-pour-i-pitcher-free-tds-meter-2435251/
1,Lowe's  Hillman Ft Drywall Sc #6X1-in (5LB) $8.14 (Reg. $27.99),8.14,,http://www.anrdoezrs.net/click-749547-11662090?url=https://www.lowes.ca/product/drywall-screws/hillman-ft-drywall-sc-6x1-in-5lb-900901&sid=rfdcb,,Lowe's,2021-01-03T22:50:01,https://forums.redflagdeals.com/lowes-hillman-ft-drywall-sc-6x1-5lb-8-14-reg-27-99-2435331/
2,Amazon.ca  PD Charger AUKEY 36W 2-Port Foldable USB C Charger with 30W Power Delivery Wall Charger $25 TAXES INCLUDED,25.00,,http://www.amazon.ca/gp/redirect.html?ie=UTF8&location=https://www.amazon.ca/dp/B0854B1HTB/?coliid=I2OHBWNNI3QM2O&colid=22CJEFO6CUM9V&psc=1&ref_=lv_ov_lig_dp_it&tag=redflagdealsc-20&linkCode=ur2&camp=15121&creative=330641,,Amazon.ca,2021-01-03T22:50:01,https://forums.redflagdeals.com/amazon-ca-pd-charger-aukey-36w-2-port-foldable-usb-c-charger-30w-power-delivery-wall-charger-25-taxes-included-2435325/
3,Home Depot  Stanley FATMAX 23-in. Structural Foam Toolbox - Clearance for $19.98 (33% off),19.98,,https://the-home-depot-ca.pxf.io/c/341376/583694/9526?u=https://www.homedepot.ca/product/stanley-fatmax-23-inch-structural-foam-box/1000667544,,Home Depot,2021-01-03T22:50:01,https://forums.redflagdeals.com/home-depot-stanley-fatmax-23-structural-foam-toolbox-clearance-19-98-33-off-2434638/
4,"Dell  ❆[12.26]❆ Dell 15"" 4500U - USB-C DP 4K60 + 65W PD - $679.99 ($611.99 Unidays) [$550.79 Unidays/NewAcct+Rk] [Hot]",649,,http://www.anrdoezrs.net/click-749547-12105225?url=https://www.dell.com/en-ca/shop/dell-laptops/new-inspiron-15-5000-laptop-amd/spd/inspiron-15-5505-laptop/ni155000_sb_s103e&sid=rfdcb,,Dell,2021-01-03T22:50:01,https://forums.redflagdeals.com/dell-12-26-dell-15-4500u-usb-c-dp-4k60-65w-pd-679-99-611-99-unidays-550-79-unidays-newacct-rk-hot-2387232/
5,"Lenovo Canada  Thinkpad E14 Gen 2 - $778.05 - Ryzen 7 4700u, 8gb RAM, 256ssd, 14"" 1080p IPS screen $778.05",778.05,,http://lenovo.evyy.net/c/341376/225728/3899?u=https://www.lenovo.com/ca/en/workperksca/laptops/thinkpad/thinkpad-e-series/ThinkPad-E14-Gen2-AMD/p/22TPE14E4A2,,Lenovo Canada,2021-01-03T22:50:01,https://forums.redflagdeals.com/lenovo-canada-thinkpad-e14-gen-2-778-05-ryzen-7-4700u-8gb-ram-256ssd-14-1080p-ips-screen-2434546/
6,Freedom Mobile  Boxing week! iPhone 11 ABSOLUTE $0 $55/20GB (extra $200 GC if you got it from Walmart),,,https://www.freedommobile.ca/en-CA,,Freedom Mobile,2021-01-03T22:50:01,https://forums.redflagdeals.com/freedom-mobile-boxing-week-iphone-11-absolute-0-55-20gb-extra-200-gc-if-you-got-walmart-2433410/
7,Bed Bath And Beyond  ZeroWater® 10-Cup Ready Pour™ Pitcher with Free Tds Meter,18.20,,http://www.dpbolvw.net/click-749547-13347068?url=https://www.bedbathandbeyond.ca/store/product/zerowater-reg-10-cup-ready-pour-trade-pitcher-with-free-water-quality-in-blue/5514138?skuId=69594027&mcid=PS_googlepla_nonbrand__&product_id=69594027&enginename=google&adpos=&creative=340470882360&device=m&matchtype=&network=g&utm_campaignid=71700000049805485&utm_adgroupid=58700004897637044&targetid=92700042348343448&gclid=EAIaIQobChMI98zMl52A7gIVF47ICh3niAwBEAQYASABEgLmhvD_BwE&gclsrc=aw.ds&sid=rfdcb,,Bed Bath And Beyond,2021-01-03T22:50:01,https://forums.redflagdeals.com/bed-bath-and-beyond-zerowater-10-cup-ready-pour-i-pitcher-free-tds-meter-2435251/
8,Lowe's  Hillman Ft Drywall Sc #6X1-in (5LB) $8.14 (Reg. $27.99),8.14,,http://www.anrdoezrs.net/click-749547-11662090?url=https://www.lowes.ca/product/drywall-screws/hillman-ft-drywall-sc-6x1-in-5lb-900901&sid=rfdcb,,Lowe's,2021-01-03T22:50:01,https://forums.redflagdeals.com/lowes-hillman-ft-drywall-sc-6x1-5lb-8-14-reg-27-99-2435331/
9,Amazon.ca  PD Charger AUKEY 36W 2-Port Foldable USB C Charger with 30W Power Delivery Wall Charger $25 TAXES INCLUDED,25.00,,http://www.amazon.ca/gp/redirect.html?ie=UTF8&location=https://www.amazon.ca/dp/B0854B1HTB/?coliid=I2OHBWNNI3QM2O&colid=22CJEFO6CUM9V&psc=1&ref_=lv_ov_lig_dp_it&tag=redflagdealsc-20&linkCode=ur2&camp=15121&creative=330641,,Amazon.ca,2021-01-03T22:50:01,https://forums.redflagdeals.com/amazon-ca-pd-charger-aukey-36w-2-port-foldable-usb-c-charger-30w-power-delivery-wall-charger-25-taxes-included-2435325/
